Category,Sms
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By HADIJA LAI,ni grp member"
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA VODACOM NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,au iyo ela nitumie kwenye M-Pesa hii 0782734560 Jina litoke 0782734560.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0773409724"
trust,Nisaidie na namba ya fundi.
trust,Asante kwa kunipa taarifa muhimu.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0698018072"
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0657666983 AU 0657666983"
scam,Basi iyo hela nitumie kwenye namba hii 0698018072 jina litakuja (HOSEA MKUMBUKWA) ile namba usitumie laini inamatatizo.
scam,au iyo ela nitumie kwenye M-Pesa hii 0783654321 Jina litoke 0783654321.
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0655251448 AU 0655251448"
trust,Real Madrid wamepoteza mwelekeo tangu Benzema aondoke. Nafikiri wanamhitaji striker mpya.
trust,Pongezi kwa kazi nzuri unayoifanya!
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0787-406-889 UKIWA TAYARI KUJIUNGA
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA tigo NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA HALOTEL NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,"TUZO POINT hongera umepata zawadi Sh2,000,000 milioni kutoka (TUZO POINT) piga sim,.0733822240 kupata zawadi  asante"
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0698018072 au 0698018072"
scam,Utanitumia kwa hîi Airtel 0716484506 j'ina ni HADIJA LAI.
scam,Au nitumie kwenye Tigopesa Namba.0781476081 jina litakuja JUMA SIKAREKO
trust,"Asante kwa kunikumbusha kuhusu chakula cha mchana, nimejua wakati wa kuandaa."
scam,Iyo ela tuma humu kwenye vodacom 0617488472 Jina lije SAID MTAALAM 
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0784862618"
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0788542784 au 0788542784"
trust,Drama ya Mastaa Bongo haitakoma! Nasikia wakubwa wawili wamegombana kuhusu collabo.
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By KHADIJA SUMBAI,ni grp member"
trust,Kuna beef mpya kati ya kina Ommy Dimpoz na wasanii wa Konde Gang. Ni drama tu!
scam,"Imethibitishwa, namba yako ya 0782734560 imejishindia TSH 6,000,000 kutoka Tuzo Point. Piga 0782734560 ili kupokea hela yako."
scam,MZEE ABDALLAH MWANAKU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0657666983)(0657666983)
scam,Tumia namba hii ya vodacom 0750335946 kutuma hiyo pesa jina JOACHIM KAPUFI
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA Tigo NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,au iyo ela nitumie kwenye Tigopesa hii 0655251448 Jina litoke 0655251448.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0689592818"
scam,Basi iyo hela nitumie kwenye namba hii 0755896103 jina litakuja (JUMANNE YASINI MASAKA) ile namba usitumie laini inamatatizo.
trust,Nataka niongee na wewe kuhusu project hii.
scam,TUMIA NAMBA HII (0676584303)KUNITUMIA IYO HELA JINA LITAONYESHA (MARIAM NDUGAI)
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0676584303
scam,"Habari za mda huu,mimi MWANAIDI KHAMISI,hii namba yangu ya AIRTEL.Vp mbona shem MWANAIDI KHAMISI, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
trust,Napenda sana kazi zako
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By ABDALLAH MWANAKU,ni grp member"
scam,Iyo Pesa itume humu kwenye Halotel 0755667788 jina lije Magomba Maila.
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.
scam,We need urgently Need Staff salary 120000TZS. Reach HR team at: wa.me/2550689933027.
scam,Iyo hela itume humu kwenye Airtel 0789723456 jina lije Magomba Maila.
trust,Tunakupenda
scam,"We need urgently Need Staff salary 1,500,000TZS. Reach HR team at: wa.me/2550675259049."
scam,Naomba unitumie iyo Pesa kwenye namba hii ya Airtel 0657666983. jina (Magomba Maila)
trust,"Je, umepata tiketi ya kuhudhuria tamasha la muziki kesho?"
scam,"Tuzo point hongera umepata zawadi Sh1,500,000 milioni kutoka (Tuzo point) piga sim,.0784862618 kupata zawadi  asante"
scam,Basi iyo hela nitumie kwenye namba hii 0698945621 jina litakuja (LINUSI MALALO) ile namba usitumie laini inamatatizo.
trust,"Tafadhali nipigie simu ukiwa na muda, kuna kitu muhimu nataka kuzungumza."
scam,"VODA OFA hongera umepata zawadi Sh170,000 milioni kutoka (VODA OFA) piga sim,.0615810764 kupata zawadi  asante"
scam,"Mpigie Mzee Ester kalobelo kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0783582817"
scam,Au nitumie kwenye m-pesa Namba.0786543210 jina litakuja NASHONI MBIRIBI
scam,Au nitumie kwenye AirtelMoney Namba.0787-406-889 jina litakuja LUKA KIMBANGU
trust,"Pole na kazi, usijisahau kula chakula."
trust,"Mambo vipi, umesikia Diamond na Zuchu wana collabo mpya inakuja wiki ijayo?"
scam,"Habari za asubuhi,mimi JENEROZA ROCK BENEDICTO,hii namba yangu ya VODACOM.Vp mbona shem JENEROZA ROCK BENEDICTO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
scam,TUMIA NAMBA HII (0773409724)KUNITUMIA IYO HELA JINA LITAONYESHA (KHADIJA SUMBAI)
trust,"Pole kwa usumbufu, ilikuwa ni dharura."
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0781476081 UKIWA TAYARI KUJIUNGA
scam,tuma kwenye namba hii ya M-Pesa 0789723456 jina litakuja ABDALLAH MWANAKU Ukituma unijulishe
trust,Nitumie namba ya daktari unayemfahamu.
scam,"Tuzo point hongera umepata zawadi Sh1,500,000 milioni kutoka (Tuzo point) piga sim,.0787-406-889 kupata zawadi  asante"
scam,"Congratulations! Your CV has passed. You can get 1,500,000TZS in a day. for details: wa.me/2550699137921"
trust,"Tunaweza kuandaa tukio la pamoja mwezi ujao, hebu fikiria wazo hili."
scam,Au nitumie kwenye AirtelMoney Namba.0784862618 jina litakuja JOACHIM KAPUFI
scam,Iyo ela tuma humu kwenye Airtel 0788542784 Jina lije KHADIJA SUMBAI.
trust,"Asante kwa kunipeleka hospitali jana, nilihitaji msaada wako sana."
scam,Utanitumia kwenye ii 0767274553 halotel jina NASHONI MBIRIBI namba yangu inadeni usiitumie
scam,Tumia namba hii ya HALOTEL 0782435667 kutuma hiyo hela jina LINUSI MALALO
scam,"Mpigie Mzee HADIJA LAI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0657666983"
trust,Uliona mchezo wa Yanga dhidi ya Simba? Mashabiki walikuwa na shangwe kali.
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0699137921 au 0699137921"
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0676584303 AU 0676584303"
scam,"IYO PESA ITUME KWENYE NAMBA HII 0755667788 JINA ITALETA JUMA SIKAREKO NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Nakutakia siku njema yenye mafanikio.
scam,"Dear, No need to go out work, just at home to earn 170,000TZS a day, please contact us: https://wa.me/2550747878264"
scam,0786543210 Jina litakuja NASHONI MBIRIBI Nitumie kwenye hiyo TIGO
trust,Mechi ya Taifa Stars dhidi ya Uganda ilikuwa na presha kubwa sana.
scam,au iyo ela nitumie kwenye m-pesa hii 0698018072 Jina litoke 0698018072.
scam,"Congratulations! Your CV has passed. You can get 10,000,000TZS in a day. for details: wa.me/2550617488472"
scam,"Dear, No need to go out work, just at home to earn 10,000,000TZS a day, please contact us: https://wa.me/2550773409724"
scam,Utanitumia kwenye ii 0789723456 Halotel jina Ester kalobelo namba yangu inadeni usiitumie
trust,Tukutane saa tatu?
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,"Imethibitishwa, namba yako ya 0654321098 imejishindia TSH 5,000,000 kutoka VODA OFA. Piga 0654321098 ili kupokea Pesa yako."
trust,Daah yaani huu wimbo hauishi ladha ya kuuckiliza bro umetisha kwa ufupi  ndio wimbo wa mwaka na wa kufungia mwaka bonge Moja la colabo kiba nyoko
trust,Uliona outfit ya Wema jana kwenye event? Alikuwa amependeza sana.
trust,Nina furaha kukujulisha kuwa nimefanikiwa mtihani wangu.
scam,au iyo ela nitumie kwenye Tigopesa hii 0788542784 Jina litoke 0788542784.
trust,"Niko njiani kurudi nyumbani, nitafika saa moja usiku."
scam,"Congratulations! Your CV has passed. You can get 10,000,000TZS in a day. for details: wa.me/2550782734560"
scam,"IYO PESA ITUME KWENYE NAMBA HII 0676584303 JINA ITALETA FEBU SHADI WILISON NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Ripoti yako imepokelewa na tumepanga kuisoma kesho asubuhi kwenye mkutano wa timu.
scam,"VODA OFA hongera umepata zawadi Sh2,000,000 milioni kutoka (VODA OFA) piga sim,.0657538690 kupata zawadi  asante"
trust,Hali ya hewa leo inafurahisha sana.
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JOACHIM KAPUFI,ni grp member"
scam,"IYO PESA ITUME KWENYE NAMBA HII 0783582817 JINA ITALETA Magomba Maila NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.
trust,Hatari sana
scam,Iyo ela itume humu kwenye tigo 0784862618 jina lije PEREGIA FILIPO.
trust,Bado siamini Bayern Munich walishindwa kufunga hata goli moja jana.
trust,"Hakuna tatizo, tutaongea baadaye."
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0733822240 UKIWA TAYARI KUJIUNGA
scam,Naomba unitumie iyo hela kwenye namba hii ya AIRTEL 0699137921. jina (HOSEA MKUMBUKWA)
scam,Naomba unitumie iyo Pesa kwenye namba hii ya airtel 0773409724. jina (PEREGIA FILIPO)
scam,"Dear, No need to go out work, just at home to earn 170,000TZS a day, please contact us: https://wa.me/2550689933027"
trust,Nimechelewa kidogo.
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By MWANAIDI KHAMISI,ni grp member"
trust,Lisha wazazi acha ujinga
scam,Pesa tuma kwa namba hii 0716484506 jina PETER NYANGE
trust,Kumbuka kuhudhuria warsha ya maendeleo ya vijana kesho.
scam,Samahani naomba itume kwenye HALOTEL 0789723456 SAID MTAALAM .
scam,Habari za mda huu. Mimi  mwenye nyumba wako hii namba yangu ya Airtel. Mbona kimya na siku zinazidi kwenda...?
scam,Iyo ela tuma humu kwenye airtel 0615810764 Jina lije ALLY ISSA
trust,Naomba unitumie picha ya nyaraka hizo.
scam,Utanitumia. kwemye namba 0689933027 ya Vodacom jina JUMA SIKAREKO.
scam,Utanitumia kwa hîi Vodacom 0698018072 j'ina ni PETER NYANGE.
scam,"IYO PESA ITUME KWENYE NAMBA HII 0617488472 JINA ITALETA Ester kalobelo NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Kwa kweli...kutunza muda ni kila kitu!!
scam,Hela tuma kwa namba hii 0655251448 jina SAID MTAALAM 
scam,MPIGIE MZEE HOSEA MKUMBUKWA WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0695567435
scam,au iyo ela nitumie kwenye m-pesa hii 0699137921 Jina litoke 0699137921.
trust,Ninawaza kuhusu wewe.
trust,Kuna tetesi kwamba Mbappe ataenda Real Madrid msimu ujao. Unasemaje?
scam,Nitumie tu kwenye hii HALOTEL 0733822240 jina Ester kalobelo.
scam,Tumia namba hii ya VODACOM 0783582817 kutuma hiyo ela jina LUKA KIMBANGU
trust,"Nataka tuongee kuhusu project ya shuleni, unapatikana lini?"
scam,Utanitumia kwa hîi vodacom 0689592818 j'ina ni ALLY ISSA.
trust,Hali ya watoto wako ikoje sasa?
scam,Utanitumia kwenye ii 0782435667 Tigo jina MWANAIDI KHAMISI namba yangu inadeni usiitumie
scam,"Dear, No need to go out work, just at home to earn 2,000,000TZS a day, please contact us: https://wa.me/2550655251448"
trust,MUNGU akubariki sana
trust,"Bro, ulifanya vipi na ile kazi uliyokuwa unafanya kwa ajili ya project?"
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By KHADIJA SUMBAI,ni grp member"
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0783582817 AU 0783582817"
scam,Naomba unitumie iyo pesa kwenye namba hii ya AIRTEL 0789723456. jina (PEREGIA FILIPO)
scam,Tumia namba hii ya AIRTEL 0655251448 kutuma hiyo Hela jina PEREGIA FILIPO
trust,Tunaweza kupanga kukutana wiki ijayo?
trust,Uliona birthday ya Tanasha? Jamaa alifanya sherehe ya kifahari kweli.
trust,Asante kwa msaada wako leo.
scam,Utanitumia kwa hîi vodacom 0698018072 j'ina ni MWANAIDI KHAMISI.
trust,Yule mchekeshaji wa YouTube anatrend sana kwa video zake mpya za skendo.
trust,Nimefika nyumbani.
trust,Umefafanua vizuri
trust,Tafadhali uniangalizie nafasi ya kazi kwenye kampuni yenu.
scam,MZEE PEREGIA FILIPO tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0783654321)(0783654321)
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0733822240 AU 0733822240"
trust,Nimeandika ripoti yangu ya mwisho wa mwaka. Ningependa ushauri wako kabla ya kuwasilisha.
scam,Basi iyo hela nitumie kwenye namba hii 0698018072 jina litakuja (JUMANNE YASINI MASAKA) ile namba usitumie laini inamatatizo.
trust,"Nitachelewa kufika, tafadhali ningojee."
trust,"Nimefika salama kazini, asante kwa kuniombea."
scam,TUMIA NAMBA HII (0716484506)KUNITUMIA IYO HELA JINA LITAONYESHA (JENEROZA ROCK BENEDICTO)
trust,Pole sana my bro wacha Mungu aitwe MUNGU
scam,"We need urgently Need Staff salary 4,000,000TZS. Reach HR team at: wa.me/2550782435667."
scam,Naomba unitumie iyo ela kwenye namba hii ya Tigo 0787-406-889. jina (MARIAM NDUGAI)
scam,Utanitumia kwenye ii 0699137921 tigo jina SALOME KALUNGA namba yangu inadeni usiitumie
trust,Tafadhali niambie kama kuna jambo jipya.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0733822240"
trust,Tafadhali nipe updates za yale mazungumzo yetu ya kazi.
trust,"Je, umepokea barua niliyokutumia kupitia posta?"
trust,Nitakuja na familia yangu kwa chakula cha mchana nyumbani kwako.
scam,tuma kwenye namba hii ya Tigopesa 0698018072 jina litakuja JOACHIM KAPUFI Ukituma unijulishe
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0787-406-889 UKIWA TAYARI KUJIUNGA
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0615810764 UKIWA TAYARI KUJIUNGA
scam,"tigo YR89 Imethibitishwa namba yako ya 078 ... imeshinda Tsh2,000,000.00/=million kutoka Tuzo point ilikupokea ela yako piga 0654321098 Asante"
trust,Kuna tetesi kwamba Mondi anataka kufanya movie. Hii ni kweli?
trust,"Ninakuja na zawadi kutoka shambani, utapenda sana."
trust,Nimepata kazi mpya!
trust,Nimefurahi sana kukuona leo.
trust,Tukutane saa kumi mchana pale ofisini.
scam,Au nitumie kwenye M-Pesa Namba.0782435667 jina litakuja Ester kalobelo
scam,Samahani naomba itume kwenye TIGO 0783582817 HADIJA LAI.
scam,hela tuma kwa namba hii 0657666983 jina MARIAM NDUGAI
scam,au iyo ela nitumie kwenye m-pesa hii 0755667788 Jina litoke 0755667788.
scam,tuma kwenye namba hii ya HaloPesa 0657538690 jina litakuja Ester kalobelo Ukituma unijulishe
scam,Iyo ela itume humu kwenye HALOTEL 0657538690 jina lije SAID MTAALAM .
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0698945621 AU 0698945621"
scam,"Dear, No need to go out work, just at home to earn 10,000,000TZS a day, please contact us: https://wa.me/2550654321098"
scam,Tumia namba hii ya TIGO 0675259049 kutuma hiyo ela jina SALOME KALUNGA
scam,"Tuzo Point hongera umepata zawadi Sh170,000 milioni kutoka (Tuzo Point) piga sim,.0782734560 kupata zawadi  asante"
trust,Nataka nikuambie jambo muhimu.
trust,Kumbuka mafunzo ya vitendo yataanza kesho kwenye maabara.
scam,"Habari za muda,mimi PEREGIA FILIPO,hii namba yangu ya TIGO.Vp mbona shem PEREGIA FILIPO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
scam,TUMIA NAMBA HII (0781476081)KUNITUMIA IYO HELA JINA LITAONYESHA (HADIJA LAI)
scam,Iyo ela tuma humu kwenye vodacom 0782734560 Jina lije MWANAIDI KHAMISI.
trust,Ninahisi umefanya kazi nzuri sana.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0617488472"
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0733822240 AU 0733822240"
scam,"Mpigie Mzee RAMATUNGU kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0750335946"
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0689592818 AU 0689592818"
scam,"Mpigie Mzee PEREGIA FILIPO kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0783582817"
scam,Iyo ela tuma humu kwenye Halotel 0767274553 Jina lije PETER NYANGE.
trust,Ninataka kushukuru kwa msaada wako wa kifedha wa hivi karibuni.
scam,Utanitumia kwenye ii 0689933027 voda jina FEBU SHADI WILISON namba yangu inadeni usiitumie
trust,Tutakutana kwenye Zoom saa kumi.
scam,"Dear, No need to go out work, just at home to earn 6,000,000TZS a day, please contact us: https://wa.me/2550655251448"
scam,"IYO PESA ITUME KWENYE NAMBA HII 0657538690 JINA ITALETA Magomba Maila NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Nitakutafuta baadaye kwa msaada zaidi wa maelezo.
scam,Utanitumia. kwemye namba 0657666983 ya TIGO jina RAMATUNGU.
scam,"Dear, No need to go out work, just at home to earn 1,500,000TZS a day, please contact us: https://wa.me/2550655251448"
scam,MZEE LUKA KIMBANGU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0733822240)(0733822240)
scam,ela tuma kwa namba hii 0787-406-889 jina LUKA KIMBANGU
trust,Safi sana jorum
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By PEREGIA FILIPO,ni grp member"
scam,Iyo Hela itume humu kwenye voda 0689933027 jina lije LUKA KIMBANGU.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0787-406-889"
trust,Bila kubebwa huwez kwenda town kabisa kaka
scam,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0695567435
scam,Utanitumia. kwemye namba 0733822240 ya AIRTEL jina JUMA SIKAREKO.
scam,TUMIA NAMBA HII (0786543210)KUNITUMIA IYO HELA JINA LITAONYESHA (LUKA KIMBANGU)
trust,"Nitahitajika kwenye ofisi ya mwalimu mkuu asubuhi, naweza kuchelewa kidogo."
trust,Naomba nikukumbushe kuhusu kikao chetu cha leo.
trust,Kuna video mpya ya Wasafi TV inayotrend kuhusu maisha ya mastaa wa Bongo.
scam,"We need urgently Need Staff salary 170,000TZS. Reach HR team at: wa.me/2550755896103."
scam,"OFA YAKO hongera umepata zawadi Sh170,000 milioni kutoka (OFA YAKO) piga sim,.0654321098 kupata zawadi  asante"
scam,TUMIA NAMBA HII (0782435667)KUNITUMIA IYO HELA JINA LITAONYESHA (Magomba Maila)
scam,pesa tuma kwa namba hii 0750335946 jina ALLY ISSA
trust,Nimepanga safari ya kwenda mbuga za wanyama mwezi ujao. utakuwa na mda kwende pamoja?
scam,We need urgently Need Staff salary 120000TZS. Reach HR team at: wa.me/2550689933027.
scam,We need urgently Need Staff salary 120000TZS. Reach HR team at: wa.me/2550699137921.
scam,mjukuu wangu utafuta ji wako mgumu Hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0786543210
trust,Uko salama? Nilisikia habari za ajali.
trust,Tafadhali niambie hali ya baba nyumbani.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0696530433"
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0655251448 AU 0655251448"
scam,au iyo ela nitumie kwenye m-pesa hii 0755667788 Jina litoke 0755667788.
scam,Basi iyo hela nitumie kwenye namba hii 0617488472 jina litakuja (LUKA KIMBANGU) ile namba usitumie laini inamatatizo.
scam,MZEE JUMA SIKAREKO tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0698018072)(0698018072)
trust,"Samahani, nilikuwa na kikao cha dharura. Tutazungumza baadaye kidogo."
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0782734560 AU 0782734560"
trust,Ahsante kwa kunikumbusha jana kuhusu deadline ya kazi.
scam,Nitumie tu kwenye hii vodacom 0716484506 jina ABDALLAH MWANAKU.
scam,Basi iyo hela nitumie kwenye namba hii 0655251448 jina litakuja (Magomba Maila) ile namba usitumie laini inamatatizo.
trust,"Usijali, nitakusaidia katika hili."
scam,"VODA OFA hongera umepata zawadi Sh120000 milioni kutoka (VODA OFA) piga sim,.0767274553 kupata zawadi  asante"
trust,"Nimemaliza kazi niliyotumwa, naweza kurudi nyumbani?"
